FLT_ID,EQ_ID,model,eq_name,fname,eq_date,magnitude,style,sof,region,rup_srl_narrow,rup_srl_wide,dip,seis_depth,lef,wef,stress_drop,stress_drop_asperity
3,1,Lower_width,sim_1,M5.5_002,01/10/2022,5.141182,Strike-Slip,0,generic,nan,4.45,90,4,3.3465526375098,3.35177136372231,2.82086,2.04478397655184
3,2,Lower_width,sim_2,M5.5_003,01/10/2022,5.024289,Strike-Slip,0,generic,nan,3.3,90,4,3.10201400738482,3.35725130419089,2.393505,1.65154435644728
3,3,Lower_width,sim_3,M5.5_005,01/10/2022,5.194129,Strike-Slip,0,generic,nan,3.3,90,4,3.64767756904464,3.41236481188657,2.977182,2.04643015993745
3,4,Lower_width,sim_4,M5.6_002,01/10/2022,4.977922,Strike-Slip,0,generic,nan,1,90,5,3.38255581322241,3.62466795815077,2.14179,1.44180677832491
3,5,Lower_width,sim_5,M5.6_004,01/10/2022,5.302026,Strike-Slip,0,generic,nan,2.7,90,5,4.63196758251232,3.37148488635149,3.294738,2.21293984005755
3,6,Lower_width,sim_6,M5.7_001,01/10/2022,5.393866,Strike-Slip,0,generic,nan,6.8,90,5,5.07956138014669,3.944651517319,2.682003,1.89688213509405
3,7,Lower_width,sim_7,M5.7_004,01/10/2022,5.417684,Strike-Slip,0,generic,nan,1.8,90,5,3.94826712911518,4.45924358243672,4.304035,2.97511502848731
3,8,Lower_width,sim_8,M5.7_005,01/10/2022,5.496111,Strike-Slip,0,generic,nan,2.55,90,5,5.09933560911195,4.06988714886609,4.415334,2.96514343074428
3,9,Lower_width,sim_9,M5.8_003,01/10/2022,5.521442,Strike-Slip,0,generic,nan,5.3,90,6,5.34347565087822,4.05751844564218,4.158101,2.73975941033903
3,10,Lower_width,sim_10,M5.8_004,01/10/2022,5.296593,Strike-Slip,0,generic,nan,1.75,90,6,4.85058578750804,3.97240147309137,2.410193,1.76020560332127
3,11,Lower_width,sim_11,M5.8_005,01/10/2022,5.03107,Strike-Slip,0,generic,nan,2.75,90,6,3.80138287337688,4.16031463917343,1.685537,1.09083445625154
3,12,Lower_width,sim_12,M5.9_003,01/10/2022,5.371262,Strike-Slip,0,generic,nan,2.5,90,6,5.7390906676553,5.05212749561181,2.933244,1.88428168448409
3,13,Lower_width,sim_13,M5.9_004,01/10/2022,5.813258,Strike-Slip,0,generic,4.05,8.7,90,6,6.14080576689124,5.640486709468,4.842984,3.50139128755671
3,14,Lower_width,sim_14,M5.9_005,01/10/2022,5.461016,Strike-Slip,0,generic,nan,4.45,90,6,4.94270418612434,5.52921427080704,2.729628,1.97726991161734
3,15,Lower_width,sim_15,M6.0_001,01/10/2022,5.737107,Strike-Slip,0,generic,2.45,8.15,90,7,6.45172859472931,6.27352705177654,3.520962,2.68041452305795
3,16,Lower_width,sim_16,M6.0_002,01/10/2022,5.725423,Strike-Slip,0,generic,2.95,10.1,90,7,7.49404260023804,5.73429463751122,2.890869,2.20021009707869
3,17,Lower_width,sim_17,M6.0_003,01/10/2022,5.5854,Strike-Slip,0,generic,nan,4.7,90,7,5.5613879254393,6.60396751530672,2.807585,2.16035025506995
3,18,Lower_width,sim_18,M6.0_005,01/10/2022,5.60244,Strike-Slip,0,generic,nan,6.75,90,7,6.27481013361533,5.73188276189917,2.657343,1.96142285114256
3,19,Lower_width,sim_19,M6.1_002,01/10/2022,5.768077,Strike-Slip,0,generic,2.95,9,90,8,6.87053453359253,6.4122279391502,3.236434,2.41155702966519
3,20,Lower_width,sim_20,M6.1_005,01/10/2022,5.825225,Strike-Slip,0,generic,nan,7.1,90,8,6.97326340420009,7.13807836176382,3.717909,2.89170135387103
3,21,Lower_width,sim_21,M6.2_001,01/10/2022,6.140296,Strike-Slip,0,generic,7.9,13.05,90,8,8.93324488831298,8.75017201904889,4.629009,3.42456128025872
3,22,Lower_width,sim_22,M6.2_002,01/10/2022,6.108769,Strike-Slip,0,generic,8.55,14.1,90,8,12.3036237167839,6.85606055875811,4.038934,2.87270460826695
3,23,Lower_width,sim_23,M6.2_003,01/10/2022,6.035772,Strike-Slip,0,generic,8.95,14.05,90,8,10.6276206444574,7.31420637256442,3.402667,2.69647209677131
3,24,Lower_width,sim_24,M6.2_004,01/10/2022,6.181667,Strike-Slip,0,generic,8.8,13.65,90,8,10.6999362074896,8.35399010903952,4.60854,3.54040435597419
3,25,Lower_width,sim_25,M6.2_005,01/10/2022,6.021907,Strike-Slip,0,generic,5.85,11.95,90,8,7.98519519454954,7.42386137202511,4.696284,3.47034456460994
3,26,Lower_width,sim_26,M6.3_001,01/10/2022,6.018781,Strike-Slip,0,generic,nan,6.95,90,9,8.10195151654696,8.31195731581753,4.983941,3.72772733902105
3,27,Lower_width,sim_27,M6.3_002,01/10/2022,6.084386,Strike-Slip,0,generic,6.8,14.2,90,9,9.71974456122175,8.06273273685699,3.935857,3.04552891536208
3,28,Lower_width,sim_28,M6.3_004,01/10/2022,6.177867,Strike-Slip,0,generic,7.1,12.95,90,9,10.1613773626977,8.30261181709263,4.539755,3.53900835876184
3,29,Lower_width,sim_29,M6.3_005,01/10/2022,6.12784,Strike-Slip,0,generic,6.85,13.6,90,9,9.9292753878376,8.39937860612037,4.19832,3.10151201720813
3,30,Lower_width,sim_30,M6.4_002,01/10/2022,6.417102,Strike-Slip,0,generic,16.4,22,90,10,16.49839774121,9.15860818689194,4.194944,3.35303956916877
3,31,Lower_width,sim_31,M6.4_004,01/10/2022,6.318604,Strike-Slip,0,generic,16.6,21.05,90,10,14.1086845971681,8.4194017185228,4.336914,3.38492868145791
3,32,Lower_width,sim_32,M6.4_005,01/10/2022,6.530702,Strike-Slip,0,generic,15.65,21.6,90,10,15.8530906948412,10.730100961186,5.084742,4.04735092043643
3,33,Lower_width,sim_33,M6.5_001,01/10/2022,6.45019,Strike-Slip,0,generic,15.65,20.75,90,11,15.0322509082234,10.78940986656,5.033673,3.98114071011246
3,34,Lower_width,sim_34,M6.5_002,01/10/2022,6.058243,Strike-Slip,0,generic,nan,3.8,90,11,8.45223040115667,7.55461579830117,5.402956,3.68072192759464
3,35,Lower_width,sim_35,M6.5_003,01/10/2022,6.732119,Strike-Slip,0,generic,26.1,30.85,90,11,21.6561183168405,11.3030105679566,5.937112,4.67099522468019
3,36,Lower_width,sim_36,M6.5_004,01/10/2022,6.057333,Strike-Slip,0,generic,9.8,14.5,90,11,9.16793127041277,8.59700795558738,3.488416,2.75657398598874
3,37,Lower_width,sim_37,M6.5_005,01/10/2022,6.388078,Strike-Slip,0,generic,15.35,20.15,90,11,12.8822998066454,10.2200240795271,4.772913,3.98356988008437
3,38,Lower_width,sim_38,M6.6_001,01/10/2022,6.399436,Strike-Slip,0,generic,14,18.4,90,12,13.0713660428934,13.5440627551332,6.675702,4.57889052251096
3,39,Lower_width,sim_39,M6.6_002,01/10/2022,6.838409,Strike-Slip,0,generic,31.35,35.55,90,12,24.3253059519124,12.1612977361136,5.802991,4.34185109214475
3,40,Lower_width,sim_40,M6.6_003,01/10/2022,6.520946,Strike-Slip,0,generic,17.15,21.5,90,12,14.5992798547113,11.4651275191126,5.621831,4.49648473058901
3,41,Lower_width,sim_41,M6.6_004,01/10/2022,6.678999,Strike-Slip,0,generic,26.5,32.15,90,12,23.7347322832487,10.9752038472729,4.696493,3.77321518144328
3,42,Lower_width,sim_42,M6.6_005,01/10/2022,6.347539,Strike-Slip,0,generic,13.8,18.2,90,12,12.7292258329903,11.6349013723792,4.334697,3.33145200728422
3,43,Lower_width,sim_43,M6.7_001,01/10/2022,6.443411,Strike-Slip,0,generic,15.7,20.85,90,13,14.5910062893609,13.7617004675085,5.312053,3.98865198240638
3,44,Lower_width,sim_44,M6.7_002,01/10/2022,6.926562,Strike-Slip,0,generic,34.55,40.55,90,13,26.9602708562733,14.6984592105198,6.257489,4.74491657432862
3,45,Lower_width,sim_45,M6.7_004,01/10/2022,6.884262,Strike-Slip,0,generic,40.7,44.55,90,13,34.4831417570266,11.6459670929345,4.75723,3.88875168653786
3,46,Lower_width,sim_46,M6.7_005,01/10/2022,6.772172,Strike-Slip,0,generic,24.2,29.55,90,13,19.7666023186502,15.1350519320653,6.318035,4.56985576368215
3,47,Lower_width,sim_47,M6.8_001,01/10/2022,7.090927,Strike-Slip,0,generic,46.45,52.95,90,15,34.9802225096358,14.3554107058705,6.245606,4.97955009791929
3,48,Lower_width,sim_48,M6.8_002,01/10/2022,6.73062,Strike-Slip,0,generic,33.3,38.4,90,15,26.0973131260811,11.7698337553734,4.829972,3.95361682650719
3,49,Lower_width,sim_49,M6.8_003,01/10/2022,7.010539,Strike-Slip,0,generic,40,45.55,90,15,27.6633238109034,15.3237267530666,6.473742,5.03505272100516
3,50,Lower_width,sim_50,M6.8_004,01/10/2022,6.698352,Strike-Slip,0,generic,34,38.65,90,15,26.5490844407237,11.3290296555429,4.966834,3.85509009998384
3,51,Lower_width,sim_51,M6.8_005,01/10/2022,6.691459,Strike-Slip,0,generic,24.9,29,90,15,19.9644064873114,13.9492367389531,4.75881,4.05502383578197
3,52,Lower_width,sim_52,M7.0_W001,01/10/2022,7.254377,Strike-Slip,0,generic,61.25,65.35,90,15,45.2409873020073,15.8403545529612,7.525117,6.00463405434851
3,53,Lower_width,sim_53,M7.0_W002,01/10/2022,6.766924,Strike-Slip,0,generic,30.6,36.55,90,15,23.6295805956286,13.4757673317629,5.372545,4.21323831446968
3,54,Lower_width,sim_54,M7.0_W003,01/10/2022,7.312214,Strike-Slip,0,generic,72.9,76.7,90,15,57.4767971593194,14.8170293553199,7.119633,5.63392603036699
3,55,Lower_width,sim_55,M7.0_W004,01/10/2022,7.153712,Strike-Slip,0,generic,49.55,55.8,90,15,35.5000372986245,15.5238219307495,7.329371,5.8115418763193
3,56,Lower_width,sim_56,M6.9_W001,01/10/2022,6.367738,Strike-Slip,0,generic,10.35,16.7,90,15,9.22770829256763,12.3261382885231,7.194613,5.19179504942134
3,57,Lower_width,sim_57,M6.9_W002,01/10/2022,7.151613,Strike-Slip,0,generic,51.3,56.35,90,15,36.9793140283191,15.7514060494515,7.562606,5.79448635745851
3,58,Lower_width,sim_58,M6.9_W003,01/10/2022,7.154081,Strike-Slip,0,generic,48.05,51.6,90,15,36.9217268929848,15.2289491781885,7.327777,5.52420196233594
3,59,Lower_width,sim_59,M6.9_W004,01/10/2022,6.556902,Strike-Slip,0,generic,nan,4.5,90,15,15.7435626277298,11.6242539490858,7.304572,5.93657256035587
3,60,Lower_width,sim_60,M7.0_W005,01/10/2022,6.586785,Strike-Slip,0,generic,24.05,28.3,90,15,17.604507447957,12.1427852711851,5.036922,4.21967070427586
3,61,Lower_width,sim_61,M7.1_W001,01/10/2022,7.091397,Strike-Slip,0,generic,57.3,62.25,90,15,42.3250112727859,14.4872892115109,5.483208,4.54464497547369
3,62,Lower_width,sim_62,M7.1_W002,01/10/2022,7.227355,Strike-Slip,0,generic,57.75,62.2,90,15,44.8239393278252,15.7184185003763,7.322841,6.07115624433001
3,63,Lower_width,sim_63,M7.1_W003,01/10/2022,7.205569,Strike-Slip,0,generic,56.5,62.55,90,15,38.6711032630044,15.9478737564811,8.36603,6.53765377822678
3,64,Lower_width,sim_64,M7.1_W004,01/10/2022,7.354658,Strike-Slip,0,generic,78.9,84.5,90,15,63.1637517775758,15.3042444798997,7.100631,5.95894523080809
3,65,Lower_width,sim_65,M7.1_W005,01/10/2022,6.893939,Strike-Slip,0,generic,60.7,65.25,90,15,37.1220154491473,14.424728538217,5.138672,4.16168131207309
3,66,Lower_width,sim_66,M7.2_W001,01/10/2022,7.280268,Strike-Slip,0,generic,63.6,69.05,90,15,46.7390776690298,15.4433275118224,7.93414,5.96870782474086
3,67,Lower_width,sim_67,M7.2_W002,01/10/2022,7.405577,Strike-Slip,0,generic,110.5,116.2,90,15,82.4315219923609,15.4339200481888,6.039116,4.82894998486939
3,68,Lower_width,sim_68,M7.2_W003,01/10/2022,7.290187,Strike-Slip,0,generic,92.75,98.55,90,15,75.6922167909871,15.2108461156911,5.296887,4.22405113426558
3,69,Lower_width,sim_69,M7.2_W004,01/10/2022,7.37064,Strike-Slip,0,generic,91.3,97.15,90,15,71.076676012094,15.2005272585107,6.927343,5.66783951990248
3,70,Lower_width,sim_70,M7.2_W005,01/10/2022,7.491599,Strike-Slip,0,generic,88.4,94.9,90,15,65.4642487675384,15.8113315162777,10.464051,8.51563313312239
3,71,Lower_width,sim_71,M7.3_W001,01/10/2022,7.289704,Strike-Slip,0,generic,91.45,96.35,90,15,76.6416723247118,14.0500844023505,5.916604,5.01222583460017
3,72,Lower_width,sim_72,M7.3_W003,01/10/2022,7.428012,Strike-Slip,0,generic,104.6,110.85,90,15,87.0120082454451,15.3477915887305,6.012054,5.16916119379053
3,73,Lower_width,sim_73,M7.3_W004,01/10/2022,7.397549,Strike-Slip,0,generic,108.35,113.3,90,15,96.9397654268777,15.1207785126986,5.721764,4.77781336185666
3,74,Lower_width,sim_74,M7.3_W005,01/10/2022,6.60102,Strike-Slip,0,generic,24.75,31,90,15,16.5971461993468,15.1353671964591,5.930014,4.35192436688198
3,75,Lower_width,sim_75,M7.4_W001,01/10/2022,7.45806,Strike-Slip,0,generic,125.35,128.85,90,15,104.909449434609,15.0412012041004,6.024808,4.94052319307302
3,76,Lower_width,sim_76,M7.4_W002,01/10/2022,6.657146,Strike-Slip,0,generic,20.7,25.5,90,15,14.6723277648315,16.169972513178,7.351778,5.34041696936535
3,77,Lower_width,sim_77,M7.4_W004,01/10/2022,7.344857,Strike-Slip,0,generic,135.8,138.5,90,15,84.5054693910856,15.1156594243498,6.453039,5.17393909411532
3,78,Lower_width,sim_78,M7.4_W005,01/10/2022,7.388988,Strike-Slip,0,generic,151.5,155.1,90,15,72.8974005716013,15.2097995206493,6.982482,5.93565719271916
3,79,Lower_width,sim_79,M7.6_W001,01/10/2022,7.711694,Strike-Slip,0,generic,286.7,290.2,90,15,225.96121168525,14.6711073609795,6.914999,5.3683607626287
3,80,Lower_width,sim_80,M7.6_W002,01/10/2022,7.552224,Strike-Slip,0,generic,397.75,400.9,90,15,169.920281207106,15.2099568333562,5.485772,4.32035463148154
3,81,Lower_width,sim_81,M7.6_W003,01/10/2022,7.716916,Strike-Slip,0,generic,353.1,362.75,90,15,172.763673138924,15.2114307082355,7.59358,6.36283552282265
3,82,Lower_width,sim_82,M7.6_W004,01/10/2022,7.648877,Strike-Slip,0,generic,365.7,368.95,90,15,179.990373599514,14.7492666835756,7.039909,5.56380954629069
3,83,Lower_width,sim_83,M7.6_W005,01/10/2022,7.747598,Strike-Slip,0,generic,316.3,393.75,90,15,212.71464418792,15.2384306295579,7.242976,5.71752720880664
3,84,Lower_width,sim_84,M7.5_W001,01/10/2022,7.67104,Strike-Slip,0,generic,226.65,292.3,90,15,121.734420329034,15.3809192506644,9.586836,8.14142435759319
3,85,Lower_width,sim_85,M7.5_W003,01/10/2022,7.647268,Strike-Slip,0,generic,197,218.05,90,15,138.262054538564,15.6447045420543,8.374402,6.59889186140736
3,86,Lower_width,sim_86,M7.5_W004,01/10/2022,7.530806,Strike-Slip,0,generic,176.45,182.6,90,15,145.674505494682,14.9124414272642,5.884241,4.78798433741311
3,87,Lower_width,sim_87,M7.5_W005,01/10/2022,6.723589,Strike-Slip,0,generic,20.75,26.95,90,15,20.8840937595546,15.9823195888453,7.314492,5.2185236621156
3,88,Lower_width,sim_88,M7.7_W001,01/10/2022,7.955801,Strike-Slip,0,generic,407.5,414.05,90,15,329.612855035492,15.4510677743383,8.586483,7.29346641027709
3,89,Lower_width,sim_89,M7.7_W002,01/10/2022,7.805903,Strike-Slip,0,generic,385.9,389.4,90,15,235.785609201105,14.9578459916576,7.829923,6.38752295364869
3,90,Lower_width,sim_90,M7.7_W003,01/10/2022,7.852703,Strike-Slip,0,generic,377.3,518.1,90,15,265.989574590884,14.8429093930974,7.927613,6.78288845908592
3,91,Lower_width,sim_91,M7.7_W004,01/10/2022,7.841793,Strike-Slip,0,generic,417.65,420.65,90,15,275.083372540402,14.9139903313413,7.273257,6.26739324632839
3,92,Lower_width,sim_92,M7.7_W005,01/10/2022,7.750845,Strike-Slip,0,generic,294.1,296.55,90,15,229.6732712323,14.0628207751989,9.240219,6.58135423502108
3,93,Lower_width,sim_93,M7.8_W002,01/10/2022,7.883745,Strike-Slip,0,generic,633.05,636.45,90,15,228.292416886711,14.3701005497455,10.546021,13.1100230829193
3,94,Lower_width,sim_94,M7.8_W003,01/10/2022,7.460005,Strike-Slip,0,generic,547.4,553.15,90,15,158.914226839666,15.1784719553912,5.486666,4.45367111077485
3,95,Lower_width,sim_95,M7.8_W005,01/10/2022,7.931869,Strike-Slip,0,generic,347.55,348.6,90,15,203.103477326951,14.7638354068338,19.419467,14.8132397189459
